id,user_id,feed_url,title,description,created_at,updated_at,favicon,is_podcast,site_url
80,23,https://arda.pw/index.xml,Arda KÄ±lÄ±Ã§daÄŸÄ±,Recent content on Arda KÄ±lÄ±Ã§daÄŸÄ±,2025-04-24 11:46:39 UTC,2025-04-24 11:46:39 UTC,,false,https://arda.pw
78,85,https://andrewchen.com/feed/,andrewchen,"Growth, startups, and tech products",2025-04-21 17:59:40 UTC,2025-04-21 17:59:40 UTC,https://andrewchen.com/wp-content/uploads/2015/05/favicon.png,false,https://andrewchen.com
76,85,https://www.smashingmagazine.com/category/rss/index.xml,RSS on Smashing Magazine â€” For Web Designers And Developers,Recent content in RSS on Smashing Magazine â€” For Web Designers And Developers,2025-04-21 17:52:50 UTC,2025-04-21 17:52:50 UTC,https://www.smashingmagazine.com/images/favicon/favicon.ico,false,https://www.smashingmagazine.com
75,77,https://www.smashingmagazine.com/category/design/index.xml,Design on Smashing Magazine â€” For Web Designers And Developers,Recent content in Design on Smashing Magazine â€” For Web Designers And Developers,2025-04-21 14:51:20 UTC,2025-04-21 14:51:20 UTC,https://www.smashingmagazine.com/images/favicon/favicon.ico,false,https://www.smashingmagazine.com
74,77,https://www.nngroup.com/feed/rss/,NN/g latest articles and announcements,The latest articles and announcements from Nielsen Norman Group,2025-04-21 14:50:32 UTC,2025-04-21 14:50:32 UTC,https://media.nngroup.com/static/img/favicon.ico,false,https://www.nngroup.com
73,77,https://andrewchen.com/feed/,andrewchen,"Growth, startups, and tech products",2025-04-18 11:07:24 UTC,2025-04-18 11:07:24 UTC,https://andrewchen.com/wp-content/uploads/2015/05/favicon.png,false,https://andrewchen.com
72,75,https://feedpress.me/technopat,Technopat,"Teknoloji tutkunu TechnopatlarÄ±n ortak adresi: Technopat.net! Teknoloji, internet, donanÄ±m, yazÄ±lÄ±m, oyun ve daha fazlasÄ± haber, makale ve videolar ile Technopat'ta...",2025-04-17 11:55:50 UTC,2025-04-17 11:55:50 UTC,,false,https://feedpress.me
71,74,https://www.sabah.com.tr/rss/son24saat.xml,SABAH,TÃ¼rkiye'nin en iyi Gazetesi,2025-04-17 00:15:28 UTC,2025-04-17 00:15:28 UTC,https://www.sabah.com.tr/favicon.ico,false,https://www.sabah.com.tr
70,73,https://www.ntv.com.tr/turkiye.rss,ntv.com.tr,NTV Haber - TÃ¼rkiye ve DÃ¼nya GÃ¼ndemi GÃ¼ncel Son Dakika Haberleri - EditÃ¶rÃ¼n SeÃ§imi,2025-04-16 21:49:52 UTC,2025-04-16 21:49:52 UTC,https://cdn.ntv.com.tr/favicon.ico,false,https://www.ntv.com.tr
69,72,https://bernaoduncu.com/feed/,Berna Oduncu â€“ KiÅŸisel Blog,,2025-04-16 19:46:53 UTC,2025-04-16 19:46:53 UTC,,false,https://bernaoduncu.com
68,68,https://feeds.buzzsprout.com/2470693.rss,Enderinko,"<p><b>Enderinko</b>, yazÄ±lÄ±m geliÅŸtiricisi, iÃ§erik Ã¼reticisi ve eski podcast emekÃ§isi Enderâ€™den yeni bir kulak macerasÄ±. Kodlardan kitaplara, filmlerden hayata dair kÃ¼Ã§Ã¼k bÃ¼yÃ¼k sorulara kadar her ÅŸey bu podcastâ€™te konuÅŸuluyor.</p><p><br></p><p>Zaman zaman konuklarla derin sohbetlere dalÄ±yoruz, zaman zaman tek baÅŸÄ±ma dÃ¼ÅŸÃ¼ncelere ses veriyorum. Kimi zaman Ruby konuÅŸuyoruz, kimi zaman Murakami, bazen de â€œneden bu kadar kahve iÃ§iyoruz?â€ gibi sorular peÅŸinde koÅŸuyoruz.</p><p><br></p><p>EÄŸer yazÄ±lÄ±m dÃ¼nyasÄ±na yakÄ±nsan, ama hayatla da baÄŸÄ±nÄ± koparmadÄ±ysan, burada bir ÅŸeyler bulacaksÄ±n.<br><br></p>",2025-04-16 16:14:13 UTC,2025-04-16 16:14:13 UTC,,true,
67,65,https://bsky.app/profile/did:plc:tuvjxwkg4firv3x2s6rsmbmw/rss,@guney.bsky.social - GÃ¼ney K.,"ğŸ“: Cambridge ğŸ‡¬ğŸ‡§
ğŸ‘¨â€ğŸ’»: SWE @WhatsApp
ğŸ“ (in ğŸ‡¹ğŸ‡·): https://open.substack.com/pub/guneyolsaneyapardi
ğŸ“†ğŸ“: https://zcal.co/guney",2025-04-08 19:43:37 UTC,2025-04-08 19:43:37 UTC,https://web-cdn.bsky.app/static/favicon-32x32.png,false,https://bsky.app
64,23,https://marcoroth.dev/feed.xml,Marco Roth,marcoroth.dev - website and blog,2025-04-04 05:59:28 UTC,2025-04-04 05:59:28 UTC,https://marcoroth.dev/favicon.ico,false,https://marcoroth.dev
63,30,https://hbrturkiye.com/feed,HBR TÃ¼rkiye,Harvard Business Review TÃ¼rkiye,2025-03-11 18:16:08 UTC,2025-03-11 18:16:08 UTC,https://hbrturkiye.com/assets/Frontend/images/favicon.ico,false,http://hbrturkiye.com
61,30,https://www.zdnet.com/news/rss.xml,Latest news,Most recent news,2025-03-11 18:13:18 UTC,2025-03-11 18:13:18 UTC,https://www.zdnet.com/a/neutron/images/logos/logo.png,false,https://www.zdnet.com
59,30,https://www.cnet.com/rss/news/,CNET,"CNET news editors and reporters provide top technology news, with investigative reporting and in-depth coverage of tech issues and events.",2025-03-11 18:13:03 UTC,2025-03-11 18:13:03 UTC,https://www.cnet.com/favicon-96.png,false,https://www.cnet.com
58,30,https://www.wired.com/feed/rss,WIRED,The latest from www.wired.com,2025-03-11 18:11:30 UTC,2025-03-11 18:11:30 UTC,https://www.wired.com/verso/static/wired-us/assets/favicon.ico,false,https://www.wired.com
57,30,https://techcrunch.com/feed/,TechCrunch,Startup and Technology News,2025-03-11 18:11:02 UTC,2025-03-11 18:11:02 UTC,https://techcrunch.com/wp-content/uploads/2015/02/cropped-cropped-favicon-gradient.png?w=32,false,https://techcrunch.com
55,53,https://www.smashingmagazine.com/category/rss/index.xml,RSS on Smashing Magazine â€” For Web Designers And Developers,Recent content in RSS on Smashing Magazine â€” For Web Designers And Developers,2025-03-02 00:58:49 UTC,2025-03-02 00:58:49 UTC,https://www.smashingmagazine.com/images/favicon/favicon.ico,false,https://www.smashingmagazine.com
54,49,https://maghreb-post.de/feed/,Maghreb-Post,Nachrichten aus dem Maghreb Staaten,2025-02-27 11:27:21 UTC,2025-02-28 15:06:12 UTC,https://maghreb-post.de/wp-content/uploads/2016/12/favicon_maghreb-post.png,false,https://maghreb-post.de
53,49,https://www.jungewelt.de/feeds/newsticker.rss,junge Welt,junge Welt. Die linke Tageszeitung.,2025-02-27 11:26:39 UTC,2025-02-28 15:06:11 UTC,https://www.jungewelt.de/favicon.ico,false,https://www.jungewelt.de
51,42,https://bitfieldconsulting.com/blog?format=rss,Blog - Bitfield Consulting,"<p>Tutorials, exercises, and articles on programming.</p>",2025-02-24 19:29:28 UTC,2025-02-28 15:06:11 UTC,https://images.squarespace-cdn.com/content/v1/5e10bdc20efb8f0d169f85f9/74626115-055d-4db8-bc4b-b866f27a3b02/favicon.ico?format=100w,false,https://bitfieldconsulting.com
50,42,https://blog.nuculabs.de/index.xml,NucuLabs,Recent content on NucuLabs,2025-02-23 11:33:53 UTC,2025-03-04 11:26:12 UTC,https://api.dicebear.com/9.x/initials/svg?seed=NucuLabs,false,https://blog.nuculabs.de
49,47,https://techcrunch.com/feed/,TechCrunch,Startup and Technology News,2025-02-20 22:56:02 UTC,2025-02-28 15:06:09 UTC,https://techcrunch.com/wp-content/uploads/2015/02/cropped-cropped-favicon-gradient.png?w=32,false,https://techcrunch.com
48,42,https://ugur.ozyilmazel.com/feed-tr.xml,UÄŸur â€œvigoâ€ Ã–zyÄ±lmazel,Bilgisayar ProgramcÄ±sÄ±,2025-02-20 20:52:24 UTC,2025-02-28 15:06:09 UTC,https://ugur.ozyilmazel.com/public/images/favicon.png,false,https://ugur.ozyilmazel.com
47,46,https://evrimagaci.org/rss.xml,Evrim AÄŸacÄ±,"Evrim AÄŸacÄ±, TÃ¼rkiye'nin en kapsamlÄ± ve gÃ¼venilir popÃ¼ler bilim ve eÄŸitim oluÅŸumudur. Evrimsel biyoloji baÅŸta olmak Ã¼zere bilimin bÃ¼tÃ¼n dallarÄ±ndan en gÃ¼ncel, Ã¶zgÃ¼n ve detaylÄ± iÃ§erikleri, editÃ¶r denetiminden geÃ§miÅŸ bir ÅŸekilde halkÄ±mÄ±za sunmaktayÄ±z. Herkesin katkÄ± saÄŸlayabileceÄŸi sitemizde gÃ¶revimiz, TÃ¼rkiye'de bilimsel bir aydÄ±nlanmaya Ã¶ncÃ¼ olabilmektir.",2025-02-19 18:17:39 UTC,2025-02-28 15:06:08 UTC,https://evrimagaci.org/favicon.ico,false,https://evrimagaci.org
45,42,https://deno.com/feed,Deno,The latest news from Deno Land Inc.,2025-02-13 17:14:03 UTC,2025-02-28 15:06:00 UTC,https://deno.com/favicon.ico,false,https://deno.com
44,23,https://railsatscale.com/feed.xml,Rails at Scale,The Ruby and Rails Infrastructure team at Shopify exists to help ensure that Ruby and Rails are 100-year tools that will continue to merit being our toolchain of choice.,2025-02-13 05:49:07 UTC,2025-02-28 15:05:59 UTC,https://railsatscale.com/assets/images/favicon.ico?v=1,false,https://railsatscale.com
43,42,https://justingarrison.com/index.xml,Justin Garrison's Homepage,Recent content in Justin Garrison's Homepage ,2025-02-11 20:49:46 UTC,2025-03-04 11:26:12 UTC,https://api.dicebear.com/9.x/initials/svg?seed=Justin Garrison's Homepage,,
42,42,https://www.mertbozkir.com/rss/,null,"Diary of a future ML Infra Engineer, sharing LLM insights.",2025-02-11 18:57:20 UTC,2025-02-28 15:05:58 UTC,https://www.mertbozkir.com/favicon.ico,false,https://www.mertbozkir.com
38,23,https://www.youtube.com/feeds/videos.xml?channel_id=UCfkUlVGOhY11SQZzFPTKg_A,Enderinko,,2025-02-11 16:10:29 UTC,2025-02-28 15:05:57 UTC,https://www.youtube.com/s/desktop/1fb40172/img/logos/favicon.ico,false,https://www.youtube.com
35,43,https://feeds.feedburner.com/allaboutrss,ALL About RSS - Telegram Channel,å…³äº #RSS æŠ€æœ¯çš„ #åº”ç”¨ #å‘¨è¾¹ #ä»‹ç» #æ–¹æ³• #æ•™ç¨‹ #æŒ‡å— #è®¨è®º #è§‚ç‚¹ #æŠ€å·§RSS = Really Simple Syndication / Rich Site Summaryæ¨ç‰¹ï¼šhttps://twitter.com/aboutrssé¢‘é“ RSS Feedï¼šhttps://feeds.feedburner.com/ALLAboutRSSé¢‘é“ botï¼š@channelmcbotç¾¤ç»„ï¼š@allaboutrss (ç¦åˆ©ï¼šæ¨ç‰¹è´¦å·çš„ Retweet ä¼šè‡ªåŠ¨å‘è‡³ç¾¤ç»„) - Powered by RSSHub,2025-02-10 09:35:42 UTC,2025-03-04 11:26:12 UTC,https://api.dicebear.com/9.x/initials/svg?seed=ALL About RSS - Telegram Channel,false,
34,30,https://blog.jetbrains.com/feed/,The JetBrains Blog,Developer Tools for Professionals and Teams,2025-02-08 16:30:51 UTC,2025-02-28 15:05:49 UTC,https://blog.jetbrains.com/wp-content/themes/jetbrains/assets/img/favicons/favicon.ico,false,https://blog.jetbrains.com
31,42,https://www.yagiz.co/rss.xml,Yagiz Nizipli's blog,"Yagiz Nizipli is a software engineer who writes about software engineering, programming, and technology. His research and work is focused on software performance.",2025-02-06 15:34:08 UTC,2025-02-28 15:05:48 UTC,https://www.yagiz.co/favicon.ico,false,https://www.yagiz.co
30,42,https://adventures.nodeland.dev/rss.xml,Adventures in Nodeland,"I write about my journey as a core contributor of Node.js, an author, and a maintainer of many modules - including [Fastify](https://www.fastify.io) and [Pino](https://www.getpino.io). I will also write about my journey as the Co-Founder & CTO of [Platformatic](https://platformatic.dev). In addition, I speak at conferences and will add links to all my talks in case you missed one.

If you like my Open Source work, consider sponsoring me on [GitHub](https://github.com/sponsors/mcollina)",2025-02-06 10:48:35 UTC,2025-03-04 11:26:12 UTC,https://api.dicebear.com/9.x/initials/svg?seed=Adventures in Nodeland,false,https://adventures.nodeland.dev
29,42,https://enderahmetyurt.com/feed.xml,EAY,The running of a free soul,2025-02-05 13:07:26 UTC,2025-02-28 15:05:47 UTC,https://enderahmetyurt.com/assets/img/favicons/favicon.ico,false,https://enderahmetyurt.com
28,42,https://muratcorlu.com/rss/,Web Development Notes,Articles about Web Development and JavaScript by Murat Ã‡orlu,2025-02-05 11:23:12 UTC,2025-02-28 15:05:46 UTC,https://muratcorlu.com/content/images/size/w256h256/2024/12/murat-18.png,false,https://muratcorlu.com
27,42,https://furkanbaytekin.dev/rss.xml,Furkan Baytekin,"Furkan Baytekin's corner on the web. A place to share my thoughts and experiences, If you care.",2025-02-04 13:27:59 UTC,2025-03-04 11:26:12 UTC,https://api.dicebear.com/9.x/initials/svg?seed=Furkan Baytekin,,
26,41,https://muratcorlu.com/rss/,Web Development Notes,Articles about Web Development and JavaScript by Murat Ã‡orlu,2025-02-04 12:37:50 UTC,2025-02-28 15:02:52 UTC,https://muratcorlu.com/content/images/size/w256h256/2024/12/murat-18.png,false,https://muratcorlu.com
25,40,https://onedio.com/Publisher/publisher-daily.rss,Onedio,Onedio - Sosyal Ä°Ã§erik Platformu,2025-02-04 11:57:59 UTC,2025-02-28 15:02:52 UTC,https://onedio.com/_nuxt/icons/icon_64x64.788c29.png,false,https://onedio.com
24,39,https://blog.nationalarchives.gov.uk:443/feed/,Using archives to examine the BSE epidemic â€“ The National Archives,Anything and everything archives-related,2025-02-04 11:51:43 UTC,2025-02-28 15:02:51 UTC,https://blog.nationalarchives.gov.uk:443/wp-content/themes/tna-base/img/favicon.png,false,https://blog.nationalarchives.gov.uk
23,39,https://www.notboring.co/feed,Not Boring by Packy McCormick,"Tech strategy and analysis, but not boring. ",2025-02-04 11:51:21 UTC,2025-02-28 15:02:50 UTC,https://bucketeer-e05bbc84-baa3-437e-9518-adb32be77984.s3.amazonaws.com/public/images/c3c6c74c-1bc9-4c95-9064-6c144fd6a408/favicon.ico,false,https://www.notboring.co
22,33,https://world.hey.com/dhh/feed.atom,David Heinemeier Hansson,,2025-01-30 14:50:28 UTC,2025-02-28 15:02:49 UTC,https://world.hey.com/favicon.ico,false,https://world.hey.com
21,33,https://rubyonrails.org/feed.xml,Ruby on Rails,A web-app framework that includes everything needed to create database-backed web applications according to the Model-View-Controller (MVC) pattern.,2025-01-30 12:58:29 UTC,2025-02-28 15:02:49 UTC,https://rubyonrails.org/assets/images/favicon.png,false,https://rubyonrails.org
20,32,https://world.hey.com/dhh/feed.atom,David Heinemeier Hansson,,2025-01-30 10:53:32 UTC,2025-02-28 15:02:49 UTC,https://world.hey.com/favicon.ico,false,https://world.hey.com
19,32,https://rubyonrails.org/feed.xml,Ruby on Rails,A web-app framework that includes everything needed to create database-backed web applications according to the Model-View-Controller (MVC) pattern.,2025-01-30 10:51:05 UTC,2025-02-28 15:02:48 UTC,https://rubyonrails.org/assets/images/favicon.png,false,https://rubyonrails.org
17,23,https://enderahmetyurt.com/feed.xml,EAY,The running of a free soul,2025-01-24 14:16:44 UTC,2025-02-28 15:02:47 UTC,https://enderahmetyurt.com/assets/img/favicons/favicon.ico,false,https://enderahmetyurt.com
16,23,https://boringrails.com/feed.xml,Boring Rails: Skip the bullshit and ship fast | ,"Learn about the boring tools and practices used by Basecamp, GitHub, and Shopify to keep you as happy and productive as the day you typed rails new",2025-01-23 10:22:44 UTC,2025-02-28 15:02:46 UTC,https://boringrails.com/images/favicon.ico,false,https://boringrails.com
15,29,https://ishadeed.com/feed.xml,Ahmad Shadeed,"Deep-dive CSS articles, modern CSS and visual CSS explanations.",2025-01-22 08:33:42 UTC,2025-02-28 15:02:45 UTC,https://ishadeed.com/assets/favicon-32x32.png,false,https://ishadeed.com
14,29,https://arun.is/rss.xml,arun.is,My name is Arun Venkatesan. This site is dedicated to my thoughts and observations about design.,2025-01-22 08:33:06 UTC,2025-03-04 11:26:12 UTC,https://api.dicebear.com/9.x/initials/svg?seed=arun.is,false,https://arun.is
13,23,https://headwayapp.co/aboard-updates/rss,Aboard updates,Aboard updates,2025-01-22 07:10:02 UTC,2025-02-28 15:02:44 UTC,https://headwayapp.co/favicon.png,false,https://headwayapp.co
12,28,https://rubyonrails.org/feed.xml,Ruby on Rails,A web-app framework that includes everything needed to create database-backed web applications according to the Model-View-Controller (MVC) pattern.,2025-01-21 13:09:06 UTC,2025-02-28 15:02:43 UTC,https://rubyonrails.org/assets/images/favicon.png,false,https://rubyonrails.org
11,27,https://github.blog/changelog/feed/,GitHub Changelog,"Updates, ideas, and inspiration from GitHub to help developers build and design software.",2025-01-21 09:16:16 UTC,2025-03-04 11:26:12 UTC,https://api.dicebear.com/9.x/initials/svg?seed=GitHub Changelog,false,https://github.blog
10,25,http://feeds.feedburner.com/ElixirLang,Elixir Lang,,2025-01-20 16:26:01 UTC,2025-03-04 11:26:12 UTC,https://api.dicebear.com/9.x/initials/svg?seed=Elixir Lang,false,
9,26,https://headwayapp.co/aboard-updates/rss,Aboard updates,Aboard updates,2025-01-20 15:58:43 UTC,2025-02-28 15:02:41 UTC,https://headwayapp.co/favicon.png,false,https://headwayapp.co
8,26,https://tilosoftware.io/manet/releases/feed.xml,Manet releases,Release notes for Manet,2025-01-20 15:27:47 UTC,2025-03-04 11:26:12 UTC,https://api.dicebear.com/9.x/initials/svg?seed=Manet releases,false,https://tilosoftware.io
7,24,https://www.ruby-lang.org/en/feeds/news.rss,Ruby News,The latest news from ruby-lang.org.,2025-01-17 12:20:32 UTC,2025-02-28 15:02:39 UTC,https://www.ruby-lang.org/favicon.ico,false,https://www.ruby-lang.org
6,23,https://railsnotes.xyz/feed.xml,"RailsNotes, the Ruby on Rails guides you wished you had.","RailsNotes is a collection of the Ruby on Rails guides you wished you had, when you were first starting out. Read interesting Ruby on Rails guides on Hotwire, Stimulus, ActionMailer, Databases, Deployment and more.",2025-01-17 12:20:03 UTC,2025-02-28 15:02:39 UTC,https://railsnotes.xyz/static/favicons/favicon-32x32.png,false,https://railsnotes.xyz
5,23,https://hotwireweekly.com/rss.xml,Hotwire Weekly,"Hotwire Weekly: Your go-to source for Hotwire insights, community engagement, and framework updates delivered weekly.",2025-01-17 12:19:50 UTC,2025-02-28 15:02:38 UTC,https://assets.buttondown.email/images/1bdac043-d137-4e4f-86ef-4df5c3b34029.png,false,https://hotwireweekly.com
4,23,https://dev.37signals.com/feed/posts.xml,37signals Dev,"The 37signals Dev blog is brought to you by the people who build Basecamp, HEY, and ONCE âœŒï¸â¤ï¸",2025-01-17 12:19:34 UTC,2025-02-28 15:02:34 UTC,https://dev.37signals.com/assets/images/global/favicon.png,false,https://dev.37signals.com
3,23,https://www.pasifagresif.com/feed/,Pasif Agresif,Metale hasta oluÅŸumuzun dÄ±ÅŸa vurumu,2025-01-17 11:26:26 UTC,2025-03-04 11:26:12 UTC,https://api.dicebear.com/9.x/initials/svg?seed=Pasif Agresif,false,
2,23,https://rubyland.news/feed.rss,Rubyland,"news, opinion, tutorials, about ruby, aggregated",2025-01-17 11:26:15 UTC,2025-03-04 11:26:12 UTC,https://api.dicebear.com/9.x/initials/svg?seed=Rubyland,false,https://rubyland.news
1,23,https://rubyonrails.org/feed.xml,Ruby on Rails,A web-app framework that includes everything needed to create database-backed web applications according to the Model-View-Controller (MVC) pattern.,2025-01-17 11:26:05 UTC,2025-02-28 15:02:32 UTC,https://rubyonrails.org/assets/images/favicon.png,false,https://rubyonrails.org
